ID,Nombre,Publicado,"Descripción corta",Descripción,"Precio normal"
912,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,2800000
913,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,2800000
914,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,2800000
915,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,2800000
916,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,2800000
917,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,2800000
918,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,3100000
919,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,3300000
920,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,3300000
921,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,3300000
922,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,3300000
923,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,3300000
924,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,3300000
925,"Anillos de matrimonio para parejas en oro blanco ajuste CÓMODO",1,,,3300000
994,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,"Anillo de compromiso en oro blanco de 18 quilates.","<ul>\n 	<li>Hecho en Colombia.</li>\n 	<li>Oro Blanco de 18 Quilates.</li>\n</ul>",
995,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
996,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
997,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
998,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
999,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
1000,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
1001,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
1002,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
1003,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
1004,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
1005,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6600000
1006,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6100000
1007,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6400000
1008,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6400000
1009,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6400000
1010,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6400000
1011,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6400000
1012,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6400000
1013,"Anillo de Compromiso Oro Blanco Con Diamante Seis Puntas",1,,,6400000
1016,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,"Anillo de compromiso en oro blanco de 18 quilates.","<ul>\n 	<li>Hecho en Colombia.</li>\n 	<li>Oro Blanco de 18 Quilates.</li>\n</ul>",
1017,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1018,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1019,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1020,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1021,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1022,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1023,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1024,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1025,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1026,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1027,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,6800000
1028,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,7100000
1029,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,7400000
1030,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,7400000
1031,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,7400000
1032,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,7400000
1033,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,7400000
1034,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,7400000
1035,"Anillo de Compromiso Oro Blanco Con Diamante Solitario",1,,,7400000
1038,"Anillo de compromiso diamante SOLITARIO en oro blanco ajuste CÓMODO",1,"Anillo de compromiso diamante SOLITARIO en oro blanco\n\nAjuste CÓMODO\n\n.35 ct de diamante piedra central\n\nCOLOR DE DIAMANTES I-H\n\n<a href=""https://ewajoyeria.com/index.php/2024/03/28/color-y-quilates-de-los-diamantes-utilizados-en-ewa-joyeria/"">¿Qué significa esto?</a>\n\nUn diseño minimalista, característico de EWA joyería. Resalta un diamante natural con un diseño finamente pulido pensando en tu conforte.\n\nHecho en Colombia, materiales alta calidad y garantía mantenimiento.","Anillo de compromiso diamante solitario en oro blanco\n\n.35 ct de diamante piedra central\n\nCONOZCA NUESTRO ORO: <a href=""https://ewajoyeria.com/index.php/oro-responsable/"">Oro responsable - EWA Joyería</a>\n\nHecho en Colombia con materiales de alta calidad y certificados.\n\nGarantía de por vida para mantenimiento y limpieza.\n\n¿No sabe la medida de su anillo?, con su celular de clic en este link y siga está guía (en inglés) <a href=""https://ringsizer.moonmagic.com/"">https://ringsizer.moonmagic.com/ </a>\n\nPolítica de devoluciones:\n\nSi no está completamente satisfecho con su anillo de oro, aceptamos devoluciones dentro de los 30 días posteriores a la compra. El anillo debe estar en su estado original y sin usar. Para procesar una devolución, comuníquese con nuestro servicio al cliente para obtener más información sobre el proceso de devolución y el reembolso. Tenga en cuenta que los gastos de envío no son reembolsables. ver más detalles aquí.",
1063,"Aretes en Oro Amarillo y Esmeraldas",1,"Anillo en oro de 18 quilates certificado, diseño exclusivo.","<ul>\n 	<li>Hecho en Colombia.</li>\n 	<li>Oro de 18 quilates certificado.</li>\n</ul>",
1101,"Aretes en Oro Amarillo y Esmeraldas - Talla Única",1,,,3500000
